Country,State,Year,Sector Of Energy Sale,Categories Of Consumer For Electrical Energy Sales,"Energy Sale (UOM:Gwh(Gigawatthour)), Scaling Factor:1"
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1551.200
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),113.800
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,586.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,14.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,77.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,0.000
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,932.940
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,2126.530
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13497.500
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),2690.050
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),654.090
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1127.530
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,106.210
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1442.740
India,Bihar,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,130.990
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,1.020
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,474.480
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,757.260
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),137.740
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),122.800
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,86.130
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,14.790
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,9.590
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,5082.350
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1563.460
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,5605.740
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),8533.160
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),557.610
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,88.830
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,987.520
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,374.400
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,88.400
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Agriculture,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Commercial,1058.600
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Domestic,288.370
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (High Voltage),0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (Low and Med Voltage),0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Miscellaneous,98.880
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Public Lighting,7.720
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Traction,0.000
India,Delhi,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Works and Sewage Pumping,2.700
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,37.360
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,6594.720
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,16084.720
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),383.840
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),3008.700
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,1204.300
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,346.210
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,221.000
India,Delhi,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,386.500
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,27.290
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,616.640
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,1208.130
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1970.400
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),101.120
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,53.280
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,2.900
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),93.140
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),31.290
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.000
India,Goa,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,0.000
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,11943.500
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,3143.810
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,12173.490
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),35839.420
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),10701.300
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,162.710
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,255.820
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,686.340
India,Gujarat,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,1875.030
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,46.330
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,1860.680
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,3927.110
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),3465.310
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),5914.210
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,50.780
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,17.940
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,15.350
India,Gujarat,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,165.970
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,10371.160
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4875.920
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,11077.810
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),12163.830
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1800.720
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1366.380
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,223.060
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,385.290
India,Haryana,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,1117.900
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,56.730
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,623.000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,2193.690
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),5233.300
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),89.570
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,356.490
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.750
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,560.470
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,359.952
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1370.799
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,4348.371
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1368.207
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),636.107
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1491.647
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,61.475
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,22.321
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,731.641
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,193.910
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,903.380
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,5664.430
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),10528.650
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),270.670
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,80.150
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,45.960
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1001.740
India,Jharkhand,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.000
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,91.620
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,317.070
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),2451.490
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),12.230
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,352.140
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,81.910
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,1.680
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,0.000
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,21645.400
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,6853.680
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13819.620
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),7658.750
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1915.940
